date,cfcase,distance
20200506,2,1
20200507,4,1
20200508,12,1
20200509,18,1
20200510,34,1
20200511,35,1
20200512,27,1
20200513,26,1
20200514,29,1
20200515,27,1
20200516,19,1
20200517,13,1
20200518,15,1
20200519,13,1
20200520,32,1
20200521,12,1
20200522,20,1
20200523,23,1
20200524,25,1
20200525,16,1
20200526,19,1
20200527,40,1
20200528,79,1
20200529,58,1
20200530,39,1
20200531,27,1
20200601,35,1
20200602,38,1
20200603,49,1
20200604,39,1
20200605,39,1
20200606,51,1
20200607,57,1
20200608,38,1
20200609,38,1
20200610,50,1
20200611,45,1
20200612,55,1
20200613,49,1
20200614,33,1
20200615,37,1
20200616,34,1
20200617,43,1
20200618,59,1
20200619,49,1
20200620,67,1
20200621,48,1
20200622,17,1
20200623,46,1
20200624,51,1
20200625,28,1
20200626,39,1
20200627,51,1
20200628,62,1
20200629,42,1
20200630,42,1
20200701,51,1
20200702,54,1
20200703,63,1
20200704,63,1
20200705,59,1
20200706,48,1
20200707,44,1
20200708,62,1
20200709,50,1
20200710,45,1
20200711,35,1
20200712,44,1
20200713,62,1
20200714,33,1
20200715,39,1
20200716,61,1
20200717,60,1
20200718,39,1
20200719,34,1
20200720,26,1
20200721,45,1
20200722,63,1
20200723,59,1
20200724,41,1
20200725,113,1
20200726,58,1
20200727,25,1
20200728,28,1
20200729,48,1
20200730,18,1
20200731,36,1
20200801,31,1
20200802,30,1
20200803,23,1
20200804,34,1
20200805,33,1
20200806,43,1
20200807,20,1
20200808,43,1
20200809,36,1
20200810,28,1
20200811,34,1
20200812,54,1
20200813,56,1.5
20200814,103,1.5
20200815,155,1.5
20200816,279,1.5
20200817,197,1.5
20200818,246,1.5
20200819,297,1.5
20200820,288,1.5
20200821,315,1.5
20200822,332,1.5
20200823,397,2
20200824,266,2
20200825,280,2
20200826,320,2
20200827,441,2
20200828,371,2
20200829,323,2
20200830,299,2
20200831,248,2.5
20200901,235,2.5
20200902,267,2.5
20200903,195,2.5
20200904,198,2.5
20200905,168,2.5
20200906,167,2.5
20200907,119,2.5
20200908,136,2.5
20200909,156,2.5
20200910,155,2.5
20200911,176,2.5
20200912,136,2.5
20200913,121,2.5
20200914,109,2
20200915,106,2
20200916,113,2
20200917,153,2
20200918,126,2
20200919,110,2
20200920,82,2
20200921,70,2
20200922,61,2
20200923,110,2
20200924,125,2
20200925,114,2
20200926,61,2
20200927,955,2
20200928,50,2
20200929,38,2
20200930,113,2
20201001,77,2
20201002,63,2
20201003,75,2
20201004,63,2
20201005,73,2
20201006,75,2
20201007,114,2
20201008,69,2
20201009,54,2
20201010,72,2
20201011,57,2
20201012,98,1
20201013,102,1
20201014,73,1
20201015,110,1
20201016,47,1
20201017,73,1
20201018,91,1
20201019,76,1
20201020,58,1
20201021,89,1
20201022,121,1
20201023,155,1
20201024,77,1
20201025,61,1
