기온,수박주스(땡모반)
14.3,151
14.5,118
18.2,149
20.2,160
19.7,160
13,114
15,143
18.4,198
16.5,137
14.2,122
18,149
16.6,138
24.1,194
23.8,208
23.9,254
20.1,156
21.1,163
19.7,163
20.5,172
21.5,169
26.5,238
24.4,217
18.1,142
30.2,233
27.1,217
25.7,200
27.2,209
28.3,248
31.9,264
27.8,218
31.7,234
27.2,207
30.8,239
33.6,257
32.1,282
24.6,213
31.6,240
26.6,199
30.7,240
32.4,244
31.3,240
27.3,280
24.2,258
28.6,218
31,232
26,209
25.1,197
30,239
29,274
30.6,294
33,256
29.1,225
28.4,213
30.8,230
33.7,250
30,263
20.7,198
29.8,223
30.2,238
28.6,216
27.3,209
29.2,226
26.7,243
28.3,280
23.8,185
31,239
23.4,179
25.2,201
26.8,211
28,272
23,227
25.1,203
23.6,188
23,186
24.9,192
23.8,187
25.8,230
23.1,279
27.9,214
28.1,217
25.9,200
27.8,215
24.5,192
27.5,285
28.6,276
28.2,220
27.6,215
23.8,185
21.4,172
22.3,180
26,255
22.4,253
21.4,170
22.4,186
19.6,152
18.6,143
20.4,159
15.2,150
21.9,201
25.8,202
26.7,212
19,156
19.3,154
20.6,160
23.6,207
24.4,218
23,184
22.3,184
15,132
19.1,158
20.4,162
25.4,230
24.8,259
19.3,160
14.9,124
15.8,123
15.4,129
17.4,142
16,179
13.6,141
14.5,121
17.5,149
13.5,108
16.9,141
18.2,144
16.9,186
